Naam;Geboortejaar;Geslacht;Gewicht;Band;Club
"Mulder, Finn";2019;M;34.9;wit;"Demo Judoschool"
"Kimura, Mei";2017;V;38.1;geel;"Demo Judoschool"
"De Vries, Noah";2020;M;30;wit;"Demo Judoschool"
"Visser, Saki";2018;V;31.8;wit;"Demo Judoschool"
"Watanabe, Yuki";2019;M;33.2;wit;"Demo Judoschool"
"Visser, Yui";2015;V;36.8;geel;"Demo Judoschool"
"Van den Berg, Sem";2018;M;35;geel;"Demo Judoschool"
"De Jong, Emma";2020;V;31.3;wit;"Demo Judoschool"
"Jansen, Liam";2020;M;31.1;wit;"Demo Judoschool"
"Takahashi, Lotte";2016;V;34.2;oranje;"Demo Judoschool"
"Jansen, Haruto";2019;M;31.8;wit;"Demo Judoschool"
"Yamada, Emma";2016;V;36;wit;"Demo Judoschool"
"Matsumoto, Riku";2015;M;38.8;wit;"Demo Judoschool"
"Bos, Emma";2018;V;36.8;geel;"Demo Judoschool"
"Takahashi, Daan";2016;M;36.3;geel;"Demo Judoschool"
"Nakamura, Julia";2015;V;39;oranje;"Demo Judoschool"
"Watanabe, Finn";2020;M;31.4;wit;"Demo Judoschool"
"Sasaki, Sakura";2018;V;36.7;geel;"Demo Judoschool"
"Takahashi, Yuki";2015;M;41.5;geel;"Demo Judoschool"
"Meijer, Aoi";2019;V;34.9;wit;"Demo Judoschool"
"Shimizu, Liam";2015;M;36.7;geel;"Demo Judoschool"
"Yoshida, Aoi";2014;V;38.8;wit;"Demo Judoschool"
"Yamamoto, Ren";2020;M;30;wit;"Demo Judoschool"
"Kobayashi, Noor";2018;V;34.9;wit;"Demo Judoschool"
"Yamada, Yuki";2015;M;40.6;geel;"Demo Judoschool"
"Kobayashi, Emma";2018;V;36.4;geel;"Demo Judoschool"
"Hayashi, Daan";2019;M;31.4;wit;"Demo Judoschool"
"Mulder, Emma";2019;V;33.3;wit;"Demo Judoschool"
"Watanabe, Sem";2014;M;37.9;geel;"Demo Judoschool"
"De Jong, Hana";2015;V;37.7;geel;"Demo Judoschool"
